人民币: 余额:2049020.64  可用:490964.94  可取:0.00  参考市值:42022098.60  盈亏:2524946.18  资产:42943439.66 
-------------------------------------------------------------------------------------------------------

证券代码        证券名称        参考持股        可用股份        成本价          当前价         最新市值          浮动盈亏         盈亏比例(%)        冻结数量        股东代码          
002421          达实智能        215200          0               4.441           4.370          940424.00         -15213.18        -1.59              0               0899223537        
300065          海兰信          31700           0               13.028          13.300         421610.00         8608.56          2.08               0               0899223537        
601919          中远海控        56100           0               4.267           4.200          235620.00         -3773.81         -1.58              0               B883205909        
000009          中国宝安        96100           0               9.917           10.360         995596.00         42565.64         4.47               0               0899223537        
002512          达华智能        81300           0               5.662           5.560          452028.00         -8319.55         -1.81              0               0899223537        
002587          奥拓电子        28500           0               6.344           6.210          176985.00         -3810.93         -2.11              0               0899223537        
300267          尔康制药        101400          0               4.504           4.360          442104.00         -14581.21        -3.19              0               0899223537        
000021          深科技          27300           0               27.461          28.050         765765.00         16071.45         2.14               0               0899223537        
600880          博瑞传播        2000            0               5.371           5.270          10540.00          -201.70          -1.88              0               B883205909        
603128          华贸物流        38900           0               8.142           8.790          341931.00         25221.76         7.96               0               B883205909        
002467          二六三          83700           0               8.550           8.130          680481.00         -35158.59        -4.91              0               0899223537        
000732          泰禾集团        25800           0               6.311           6.450          166410.00         3592.26          2.21               0               0899223537        
300296          利亚德          19600           0               7.032           6.900          135240.00         -2596.45         -1.88              0               0899223537        
600110          诺德股份        100100          0               5.582           5.370          537537.00         -21246.23        -3.80              0               B883205909        
000069          华侨城Ａ        3300            0               8.226           8.110          26763.00          -382.65          -1.41              0               0899223537        
300255          常山药业        14300           0               6.649           6.400          91520.00          -3559.11         -3.74              0               0899223537        
601818          光大银行        100             0               4.192           4.160          416.00            -3.16            -0.75              0               B883205909        
