标题：资金股票
营业部名称：五矿联通站点一
股东：鸣石量化十
资金余额：7595983.65 	 可取金额：6654248.46
冻结金额：941735.19 	 股票市值：100590917.46
可用余额：6654248.46 	 总 资 产：107245166.92

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	盈亏	成本价	盈亏比例()	市价	市值	交易市场	股东帐户	实际数量	
002508	老板电器	22000	22000	0	-40696.140	33.750	-5.481	31.900	701800.000	深圳Ａ股	0899147953	22000	
002352	顺丰控股	32000	32000	0	-58565.430	55.710	-3.285	53.880	1724160.000	深圳Ａ股	0899147953	32000	
002242	九阳股份	23000	23000	0	114591.240	32.228	15.459	37.210	855830.000	深圳Ａ股	0899147953	23000	
002106	莱宝高科	100400	100400	0	154086.580	11.615	13.216	13.150	1320260.000	深圳Ａ股	0899147953	100400	
000938	紫光股份	30800	30800	0	182065.200	37.969	15.568	43.880	1351504.000	深圳Ａ股	0899147953	30800	
000858	五 粮 液	5000	0	5000	200435.640	142.703	28.091	182.790	913950.000	深圳Ａ股	0899147953	5000	
000032	深桑达Ａ	10500	0	10500	112558.160	0.000	0.000	21.430	0.000	深圳Ａ股	0899147953	0	

------------------------------
保存时间：2020-07-01  12:55:45 
