标题：信用资产
营业部名称：华泰证券(27)
股东：素养鸣石量化18号

------------------------------
担保资产:113863394.42 	 融资合约金额:0.00 	 现金资产:5606283.91
融资限额:100000000.00 	 合约负债总额:29015467.46 	 融券合约金额:27117532.10
可取金额:4106298.91 	 融券限额:100000000.00 	 净资产:84847926.96
融资合约利息:0.00 	 可用还款金额:4106298.91 	 融资额度:72882467.90
维持担保比例:3.9242 	 融券合约利息:0.00 	 可买券还券资金:5606283.91
融券额度:72882467.90 	 科创板集中度:0.000000 	 可用保证金:43627761.09
合约费用:0.00 	 可买担保品资金:4106298.91 	 融资合约盈亏:0.00
可转出资产:26816992.04 	 其他费用:0.00 	 信用买标的资金:4106298.91
融券合约盈亏:-1242585.40 	 待还款总额:0.00 	 币种名称:人民币

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比例()	盈亏(约)	市值(约)	交易市场	股东帐户	在途数量	货币单位	
300208	青岛中程	200	200	0	5.801	5.832	5.800	-0.55	-6.383	1160.000	深圳Ａ	0680028125	0	人民币	
300209	天泽信息	300	300	0	12.342	12.371	12.160	-1.71	-63.321	3648.000	深圳Ａ	0680028125	0	人民币	
300212	易华录	400	400	0	49.982	50.046	48.130	-3.83	-765.437	19252.000	深圳Ａ	0680028125	0	人民币	
300215	电科院	100	100	0	6.731	6.788	6.820	0.48	3.204	682.000	深圳Ａ	0680028125	0	人民币	
300219	鸿利智汇	100	100	0	8.363	8.422	9.390	11.57	96.742	939.000	深圳Ａ	0680028125	0	人民币	
300220	金运激光	100	100	0	56.757	56.865	57.270	0.71	40.458	5727.000	深圳Ａ	0680028125	0	人民币	
300223	北京君正	1900	1900	0	94.914	95.026	96.890	1.96	3537.173	184091.000	深圳Ａ	0680028125	0	人民币	
300226	上海钢联	100	100	0	78.193	78.323	81.050	3.48	272.433	8105.000	深圳Ａ	0680028125	0	人民币	
300227	光韵达	500	500	0	8.740	8.759	8.860	1.16	50.481	4430.000	深圳Ａ	0680028125	0	人民币	
300229	拓尔思	800	800	0	11.735	11.753	11.900	1.25	117.290	9520.000	深圳Ａ	0680028125	0	人民币	
300230	永利股份	100	100	0	4.241	4.295	4.360	1.52	6.455	436.000	深圳Ａ	0680028125	0	人民币	
300231	银信科技	200	200	0	8.672	8.706	8.850	1.66	28.795	1770.000	深圳Ａ	0680028125	0	人民币	
300232	洲明科技	200	200	0	8.272	8.305	8.500	2.35	38.866	1700.000	深圳Ａ	0680028125	0	人民币	
300233	金城医药	700	700	0	23.771	23.802	24.600	3.35	557.736	17220.000	深圳Ａ	0680028125	0	人民币	
300238	冠昊生物	400	400	0	16.593	16.622	16.540	-0.50	-32.948	6616.000	深圳Ａ	0680028125	0	人民币	
300244	迪安诊断	1000	1000	0	27.615	27.648	28.690	3.77	1040.736	28690.000	深圳Ａ	0680028125	0	人民币	
300248	新开普	100	100	0	27.935	28.014	11.470	-59.16	-1652.670	1147.000	深圳Ａ	0680028125	0	人民币	
300251	光线传媒	1400	1400	0	12.109	12.125	11.970	-1.28	-216.693	16758.000	深圳Ａ	0680028125	0	人民币	
300252	金信诺	1600	1600	0	9.237	9.250	9.300	0.55	80.622	14880.000	深圳Ａ	0680028125	0	人民币	
300257	开山股份	400	400	0	12.446	12.471	12.560	0.71	35.476	5024.000	深圳Ａ	0680028125	0	人民币	
300258	精锻科技	200	200	0	11.018	11.054	11.110	0.51	11.134	2222.000	深圳Ａ	0680028125	0	人民币	
300259	新天科技	700	700	0	4.771	4.783	5.550	16.06	536.337	3885.000	深圳Ａ	0680028125	0	人民币	
300263	隆华科技	1000	1000	0	7.532	7.545	7.730	2.46	185.115	7730.000	深圳Ａ	0680028125	0	人民币	
300265	通光线缆	800	800	0	11.858	11.876	10.870	-8.48	-804.270	8696.000	深圳Ａ	0680028125	0	人民币	
300271	华宇软件	500	500	0	25.449	25.485	26.480	3.91	496.995	13240.000	深圳Ａ	0680028125	0	人民币	
300273	和佳医疗	1900	1900	0	6.741	6.751	6.900	2.21	283.728	13110.000	深圳Ａ	0680028125	0	人民币	
300274	阳光电源	300	300	0	11.932	11.961	11.790	-1.43	-51.208	3537.000	深圳Ａ	0680028125	0	人民币	
300276	三丰智能	13800	13800	0	9.210	9.221	9.430	2.27	2882.442	130134.000	深圳Ａ	0680028125	0	人民币	
300284	苏交科	200	200	0	9.369	9.404	7.760	-17.52	-328.383	1552.000	深圳Ａ	0680028125	0	人民币	
300285	国瓷材料	100	100	0	25.775	25.851	26.200	1.35	34.828	2620.000	深圳Ａ	0680028125	0	人民币	
300288	朗玛信息	100	100	0	11.622	11.684	11.900	1.86	21.586	1190.000	深圳Ａ	0680028125	0	人民币	
300290	荣科科技	300	300	0	5.421	5.443	5.980	9.89	160.870	1794.000	深圳Ａ	0680028125	0	人民币	
300292	吴通控股	3800	3800	0	5.331	5.338	5.200	-2.58	-522.955	19760.000	深圳Ａ	0680028125	0	人民币	
300294	博雅生物	1600	1600	0	33.088	33.127	32.710	-1.26	-666.556	52336.000	深圳Ａ	0680028125	0	人民币	
300296	利亚德	1800	1800	0	5.935	5.944	6.110	2.80	298.782	10998.000	深圳Ａ	0680028125	0	人民币	
300298	三诺生物	1500	1500	0	22.395	22.421	22.090	-1.48	-496.599	33135.000	深圳Ａ	0680028125	0	人民币	
