人民币: 余额:1989371.11  可用:2196966.90  参考市值:19520802.28  资产:21717769.18  盈亏:-1035837.77  融券卖出剩余金额:0.0
-------------------------------------------------------------------------------------------------------

证券名称        证券数量        可卖数量        成本价           浮动盈亏          盈亏比例(%)        最新市值         当前价          今买数量        今卖数量        证券代码        股东代码          
复星医药        0               0               0.000            19747.29          ------             0.00             48.120          0               14200           600196          E054318510        
嘉化能源        53400           53400           12.063           -34859.77         -5.41              609294.00        11.410          0               0               600273          E054318510        
羚锐制药        0               0               0.000            465.96            ------             0.00             10.960          0               11600           600285          E054318510        
中新药业        7500            0               18.512           -7138.78          -5.14              131700.00        17.560          7500            0               600329          E054318510        
浙江龙盛        41200           41200           15.069           -29632.56         -4.77              591220.00        14.350          0               0               600352          E054318510        
中金黄金        56500           56500           11.140           -11837.77         -1.88              617545.00        10.930          0               0               600489          E054318510        
贵州茅台        400             0               1651.666         -22546.32         -3.41              638120.00        1595.300        400             0               600519          E054318510        
光明乳业        2600            2600            17.837           -3086.77          -6.66              43290.00         16.650          0               0               600597          E054318510        
华东电脑        13800           0               28.054           -26968.75         -6.97              360180.00        26.100          13800           0               600850          E054318510        
王府井          0               0               0.000            27687.97          ------             0.00             58.950          0               10300           600859          E054318510        
浙商证券        0               0               0.000            9344.25           ------             0.00             15.690          0               36500           601878          E054318510        
泛微网络        1700            0               80.451           -4574.72          -3.34              132192.00        77.760          1700            0               603039          E054318510        
华贸物流        28200           28200           9.258            -32930.47         -12.61             228138.00        8.090           0               0               603128          E054318510        
恒通股份        1200            0               14.377           -452.35           -2.62              16800.00         14.000          1200            0               603223          E054318510        
康辰药业        3700            3700            44.307           35199.47          21.47              199134.00        53.820          0               3300            603590          E054318510        
仙鹤股份        0               0               0.000            -1026.16          -100.00            0.00             17.940          0               900             603733          E054318510        
