账户,证券代码,证券名称,买卖,成交量,成交均价,成交金额
"1900712962","603305.SH","旭升股份","卖出","700","46.7614285714286","32733"
"1900712962","002707.SZ","众信旅游","卖出","20400","10.0145098039216","204296"
"7900000219","002882.SZ","金龙羽","买入","100","9.78","978"
"7900000219","601222.SH","林洋能源","买入","35165","8.42184842883549","296154.3"
"7900000219","600603.SH","广汇物流","买入","500","5.67","2835"
"7900000219","000672.SZ","上峰水泥","买入","800","30.22","24176"
"7900000219","300422.SZ","博世科","买入","1100","12.52","13772"
"7900000219","300527.SZ","中船应急","买入","300","9.94","2982"
"7900000219","002434.SZ","万里扬","买入","100","9.27","927"
"7900000219","600184.SH","光电股份","买入","1400","11.8585714285714","16602"
"7900000219","002911.SZ","佛燃能源","买入","100","16.63","1663"
"7900000219","601700.SH","风范股份","买入","100","5.7","570"
"1900712962","603818.SH","曲美家居","卖出","3300","10.8281818181818","35733"
"1900712962","300182.SZ","捷成股份","卖出","75700","5.13360634081902","388614"
"20300226218","300464.SZ","星徽精密","卖出","77500","29.8068774116129","2310032.9994"
"20300226218","300464.SZ","星徽精密","买入","75500","29.5437086384106","2230550.0022"
"8009205008","600584.SH","长电科技","买入","64300","46.302301710731","2977238"
"8009205008","600531.SH","豫光金铅","融券卖出","106500","6.55076056338028","697656"
"8009205008","600584.SH","长电科技","卖出","59300","46.3767790893761","2750143"
"1900712962","002020.SZ","京新药业","卖出","24200","14.8104958181818","358413.9988"
"1900712962","300137.SZ","先河环保","卖出","8000","8.51375","68110"
"1900712962","300748.SZ","金力永磁","卖出","1600","38.564375","61703"
"1900712962","300374.SZ","恒通科技","卖出","1200","21.8533333333333","26224"
"1900712962","600660.SH","福耀玻璃","卖出","8700","26.9455173103448","234426.0006"
"1900712962","600422.SH","昆药集团","卖出","23300","11.427339055794","266257"
"1900712962","000712.SZ","锦龙股份","卖出","1800","18.4566666666667","33222"
"1900712962","000070.SZ","特发信息","卖出","18400","12.499347826087","229988"
"1900712962","002945.SZ","华林证券","卖出","3900","16.8","65520"
"1900712962","000788.SZ","北大医药","卖出","8000","8","64000"
"1900712962","300122.SZ","智飞生物","卖出","1200","171.21249975","205454.9997"
"1900712962","600089.SH","特变电工","卖出","26000","8.52","221520"
"1900712962","000537.SZ","广宇发展","卖出","8200","8.37","68634"
"1900712962","300136.SZ","信维通信","卖出","1500","59.0426666666667","88564"
"1900712962","300142.SZ","沃森生物","卖出","500","81.056","40528"
"1900712962","300009.SZ","安科生物","卖出","10700","20.77","222239"
"1900712962","601108.SH","财通证券","卖出","12600","15.25","192150"
"1900712962","601949.SH","中国出版","卖出","200","6.23","1246"
"1900712962","002683.SZ","宏大爆破","卖出","2100","59.010476","123921.9996"
"1900712962","300255.SZ","常山药业","卖出","200","6.6","1320"
"7900000219","603698.SH","航天工程","买入","2100","12.4652380952381","26177"
"7900000219","600862.SH","中航高科","买入","10000","24.3916","243916"
"7900000219","300323.SZ","华灿光电","买入","23000","10.3237391304348","237446"
"7900000219","002818.SZ","富森美","买入","6000","15.5556998333333","93334.199"
"7900000219","600382.SH","广东明珠","买入","4500","5.718","25731"
"7900000219","300219.SZ","鸿利智汇","买入","2400","11.7625","28230"
"7900000219","603129.SH","春风动力","买入","600","96.5183333333333","57911"
"8009205008","600531.SH","豫光金铅","买入","221251","6.73649258082449","1490455.72"
"7900000219","600531.SH","豫光金铅","买入","136100","6.56470242468773","893456"
"7900000219","002346.SZ","柘中股份","买入","900","10.4822222222222","9434"
"7900000219","002414.SZ","高德红外","买入","7500","39.95333336","299650.0002"
"7900000219","002267.SZ","陕天然气","买入","4400","6.86022727272727","30185"
"7900000219","600984.SH","建设机械","买入","3500","29.3194285714286","102618"
"7900000219","601878.SH","浙商证券","卖出","44600","16.6542152488789","742778.0001"
"7900000219","000498.SZ","山东路桥","卖出","4500","5.74422222222222","25849"
"7900000219","603345.SH","安井食品","买入","300","141.503333333333","42451"
"7900000219","002909.SZ","集泰股份","买入","3000","12.7113333333333","38134"
"7900000219","300378.SZ","鼎捷软件","买入","18500","33.374810827027","617434.0003"
"7900000219","300561.SZ","汇金科技","卖出","6200","19.4309677419355","120472"
"7900000219","603063.SH","禾望电气","买入","2700","8.42111111111111","22737"
"7900000219","300404.SZ","博济医药","买入","2500","18.2096","45524"
"7900000219","000607.SZ","华媒控股","买入","5300","4.6","24380"
"7900000219","002690.SZ","美亚光电","买入","1000","59.762","59762"
"7900000219","002785.SZ","万里石","卖出","4700","21.891914893617","102892"
"7900000219","300261.SZ","雅本化学","买入","20800","6.91076923076923","143744"
"7900000219","603167.SH","渤海轮渡","买入","15100","9.35509933774834","141262"
"8009214188","600895.SH","张江高科","融券卖出","60000","21.22","1273200"
"7900000219","600109.SH","国金证券","卖出","52100","14.8144337140115","771831.9965"
"7900000219","600369.SH","西南证券","卖出","33100","5.86450151057402","194115"
"7900000219","002309.SZ","中利集团","卖出","13800","6.48","89424"
"7900000219","300423.SZ","鲁亿通","买入","5900","14.225593220339","83931"
"7900000219","000700.SZ","模塑科技","卖出","211200","8.24574809232955","1741501.9971"
"8009214188","600895.SH","张江高科","买入","60000","21.1499665","1268997.99"
"7900000219","603025.SH","大豪科技","买入","2800","8.15785714285714","22842"
"7900000219","002311.SZ","海大集团","买入","2600","65.5353846153846","170392"
"7900000219","002747.SZ","埃斯顿","买入","5000","17.32179998","86608.9999"
"7900000219","002025.SZ","航天电器","买入","3800","48.9655263157895","186069"
"7900000219","300203.SZ","聚光科技","买入","2000","17.23750005","34475.0001"
"7900000219","603858.SH","步长制药","买入","400","28.16","11264"
"7900000219","601968.SH","宝钢包装","买入","4000","6.99875","27995"
"7900000219","603848.SH","好太太","买入","1500","13.906","20859"
"7900000219","600851.SH","海欣股份","买入","1300","8.75692307692308","11384"
"7900000219","300280.SZ","紫天科技","买入","1000","51.13","51130"
"7900000219","300661.SZ","圣邦股份","买入","600","361.231666666667","216739"
"7900000219","603666.SH","亿嘉和","买入","300","112.39","33717"
"7900000219","300489.SZ","中飞股份","买入","1200","43.0008333333333","51601"
"7900000219","600460.SH","士兰微","买入","39500","18.6787848101266","737812"
"7900000219","300669.SZ","沪宁股份","买入","100","33.13","3313"
"7900000219","002062.SZ","宏润建设","卖出","11800","5.0285593220339","59337"
"7900000219","603866.SH","桃李面包","买入","700","58.7514285714286","41126"
"7900000219","000584.SZ","哈工智能","卖出","1400","7.16","10024"
"7900000219","300511.SZ","雪榕生物","买入","7900","19.2422785443038","152014.0005"
"7900000219","300063.SZ","天龙集团","买入","13400","6.55671641791045","87860"
"7900000219","002266.SZ","浙富控股","买入","15800","5.61183544303797","88667"
"7900000219","600621.SH","华鑫股份","卖出","13500","22.2824444444444","300813"
