账户,备注,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比率,参考盈亏,SymbolFull
20300226218,lh29,000065,北方国际,300,300,300,0,0,0,8.39,8.70,4.07%,2610.00,3.68%,92.70,000065.SZ
20300226218,lh29,000070,特发信息,174800,174800,174800,0,0,0,11.63,13.21,-0.68%,2309108.01,13.57%,275834.41,000070.SZ
20300226218,lh29,000603,盛达资源,3400,0,0,0,0,3400,--,20.90,5.66%,0.00,--,0.00,000603.SZ
20300226218,lh29,000639,西王食品,60600,0,0,0,0,60600,--,7.21,-1.90%,0.00,--,0.00,000639.SZ
20300226218,lh29,000710,贝瑞基因,100,100,100,0,0,0,88.20,77.00,-6.55%,7700.00,-12.70%,-1120.10,000710.SZ
20300226218,lh29,000732,泰禾集团,167100,0,0,0,0,167100,--,5.37,-2.54%,0.00,--,0.00,000732.SZ
20300226218,lh29,000738,航发控制,11700,0,0,0,0,11700,--,22.55,7.89%,0.00,--,0.00,000738.SZ
20300226218,lh29,000795,英洛华,49200,0,0,0,0,49200,--,6.77,0.74%,0.00,--,0.00,000795.SZ
20300226218,lh29,000818,航锦科技,34400,0,0,0,0,34400,--,28.70,3.65%,0.00,--,0.00,000818.SZ
20300226218,lh29,000875,吉电股份,415300,415300,415300,0,0,0,4.35,4.38,0.69%,1819014.05,0.69%,12459.05,000875.SZ
20300226218,lh29,000901,航天科技,43700,0,0,0,0,43700,--,12.36,-0.48%,0.00,--,0.00,000901.SZ
20300226218,lh29,000913,钱江摩托,1200,0,0,0,0,1200,--,17.24,-0.06%,0.00,--,0.00,000913.SZ
20300226218,lh29,002020,京新药业,168000,168000,168000,0,0,0,14.88,14.47,-2.16%,2430960.04,-2.73%,-68207.96,002020.SZ
20300226218,lh29,002028,思源电气,82700,82700,82700,0,0,0,27.51,28.31,0.28%,2341236.96,2.90%,65994.56,002028.SZ
20300226218,lh29,002182,云海金属,21700,21700,21700,0,0,0,10.85,12.50,-0.24%,271250.00,15.25%,35891.80,002182.SZ
20300226218,lh29,002190,成飞集成,300,300,300,0,0,0,24.81,25.45,0.91%,7635.00,2.60%,193.20,002190.SZ
20300226218,lh29,002225,濮耐股份,27000,27000,27000,0,0,0,4.76,4.80,2.13%,129600.01,0.78%,999.01,002225.SZ
20300226218,lh29,002233,塔牌集团,14400,14400,14400,0,0,0,16.00,16.08,0.25%,231552.00,0.53%,1224.00,002233.SZ
20300226218,lh29,002312,三泰控股,28500,28500,28500,0,0,0,5.90,6.03,0.00%,171855.01,2.26%,3790.51,002312.SZ
20300226218,lh29,002386,天原集团,51900,0,0,0,0,51900,--,6.89,-0.14%,0.00,--,0.00,002386.SZ
20300226218,lh29,002413,雷科防务,72800,72800,0,0,72800,72800,10.21,10.84,0.00%,789152.01,6.12%,45531.97,002413.SZ
20300226218,lh29,002424,贵州百灵,35700,35700,35700,0,0,0,9.78,9.65,2.01%,344504.99,-1.37%,-4783.81,002424.SZ
20300226218,lh29,002446,盛路通信,10700,0,0,0,0,10700,--,7.55,-0.53%,0.00,--,0.00,002446.SZ
20300226218,lh29,002515,金字火腿,42200,42200,42200,0,0,0,8.30,7.53,-3.21%,317766.01,-9.28%,-32493.99,002515.SZ
20300226218,lh29,002519,银河电子,210500,210500,210500,0,0,0,4.95,5.10,-0.20%,1073549.98,2.99%,31153.98,002519.SZ
20300226218,lh29,002531,天顺风能,188900,188900,188900,0,0,0,7.67,7.57,-1.05%,1429973.03,-1.33%,-19267.77,002531.SZ
20300226218,lh29,002539,云图控股,27900,27900,27900,0,0,0,7.54,7.37,-1.73%,205623.00,-2.31%,-4854.60,002539.SZ
20300226218,lh29,002560,通达股份,29500,0,0,0,0,29500,--,10.41,-2.71%,0.00,--,0.00,002560.SZ
20300226218,lh29,002642,荣联科技,17000,0,0,0,0,17000,--,7.15,0.00%,0.00,--,0.00,002642.SZ
20300226218,lh29,002653,海思科,47501,47501,47501,0,0,0,28.44,28.34,-2.95%,1346178.35,-0.35%,-4750.09,002653.SZ
20300226218,lh29,002675,东诚药业,5500,5500,5500,0,0,0,28.43,28.36,1.03%,155980.00,-0.25%,-390.50,002675.SZ
20300226218,lh29,002688,金河生物,108920,20,20,0,0,108900,2868.49,8.55,-3.06%,171.00,-99.70%,-57198.84,002688.SZ
20300226218,lh29,002887,绿茵生态,103000,103000,103000,0,0,0,14.95,14.74,-1.60%,1518219.98,-1.41%,-21733.02,002887.SZ
20300226218,lh29,002930,宏川智慧,17900,17900,17900,0,0,0,23.40,23.04,-3.96%,412416.02,-1.55%,-6497.68,002930.SZ
20300226218,lh29,002932,明德生物,5800,0,0,0,0,5800,--,94.60,-8.37%,0.00,--,0.00,002932.SZ
20300226218,lh29,002935,天奥电子,54700,8400,8400,0,0,46300,20.94,31.00,0.32%,260400.00,48.06%,84523.04,002935.SZ
20300226218,lh29,002940,昂利康,5000,5000,5000,0,0,0,66.23,59.68,-2.88%,298400.00,-9.89%,-32735.00,002940.SZ
20300226218,lh29,002945,华林证券,39400,39400,39400,0,0,0,17.01,16.85,1.32%,663890.02,-0.94%,-6303.98,002945.SZ
20300226218,lh29,300002,神州泰岳,87900,0,0,0,0,87900,--,6.83,-3.39%,0.00,--,0.00,300002.SZ
20300226218,lh29,300005,探路者,49600,49600,49600,0,0,0,4.55,4.65,-0.43%,230640.00,2.29%,5158.40,300005.SZ
20300226218,lh29,300009,安科生物,109500,0,0,0,0,109500,--,20.31,-2.03%,0.00,--,0.00,300009.SZ
20300226218,lh29,300043,星辉娱乐,62900,62900,62900,0,0,0,4.16,4.01,-1.96%,252229.01,-3.49%,-9120.49,300043.SZ
