账户,证券代码,证券名称,买卖,成交量,成交均价,成交金额
"7900000219","300298.SZ","三诺生物","买入","3100","43.6690322258064","135373.9999"
"7900000219","300551.SZ","古鳌科技","买入","7500","26.2326666666667","196745"
"7900000219","601878.SH","浙商证券","卖出","69900","15.918948397711","1112734.493"
"7900000219","002239.SZ","奥特佳","卖出","78800","5.34793147208122","421417"
"7900000219","600754.SH","锦江酒店","买入","2600","39.8384615769231","103580.0001"
"7900000219","300080.SZ","易成新能","卖出","31100","5.19874596463023","161680.9995"
"7900000219","002467.SZ","二六三","卖出","18600","7.39145161290323","137481"
"7900000219","300273.SZ","和佳医疗","卖出","21900","6.35091324200913","139085"
"7900000219","002797.SZ","第一创业","卖出","201000","9.79120895522388","1968033"
"8009205008","300433.SZ","蓝思科技","卖出","19700","29.5120307106599","581387.005"
"7900000219","000601.SZ","韶能股份","买入","11600","6.65060344827586","77147"
"8009205008","600118.SH","中国卫星","买入","54600","33.6662546703297","1838177.505"
"7900000219","600682.SH","南京新百","买入","19800","14.8982828080808","294985.9996"
"8009205008","600118.SH","中国卫星","卖出","54600","33.6541758241758","1837518"
"8009214188","688126.SH","沪硅产业","卖出","41929","39.1538546113668","1641681.97"
"7900000219","300246.SZ","宝莱特","卖出","1000","37.046","37046"
"7900000219","603630.SH","拉芳家化","买入","7500","18.3824","137868"
"7900000219","002415.SZ","海康威视","买入","18800","36.5207446702128","686589.9998"
"7900000219","300300.SZ","汉鼎宇佑","卖出","8000","6.20875","49670"
"7900000219","603979.SH","金诚信","买入","3400","11.8382352941176","40250"
"7900000219","300366.SZ","创意信息","买入","47000","12.558829787234","590265"
"7900000219","300377.SZ","赢时胜","卖出","5400","9.41685185185185","50851"
"7900000219","002104.SZ","恒宝股份","买入","19100","10.3401570680628","197497"
"7900000219","600203.SH","福日电子","卖出","16600","8.99072289156626","149246"
"7900000219","000158.SZ","常山北明","买入","8400","9.16809523809524","77012"
"7900000219","300573.SZ","兴齐眼药","买入","500","193.828","96914"
"7900000219","002444.SZ","巨星科技","买入","10300","16.205533961165","166916.9998"
"8009205008","300433.SZ","蓝思科技","买入","39700","29.3889168765743","1166740"
"7900000219","603960.SH","克来机电","买入","1400","41.7557142857143","58458"
"1900712962","300331.SZ","苏大维格","买入","3200","36.278125","116090"
"1900712962","000403.SZ","双林生物","买入","3900","41.7492307692308","162822"
"8009214188","688126.SH","沪硅产业","买入","42000","39.3176285714286","1651340.4"
"7900000219","000403.SZ","双林生物","买入","1184","41.6471959459459","49310.28"
"7900000219","300183.SZ","东软载波","买入","23900","21.6024686443515","516299.0006"
"1900712962","002104.SZ","恒宝股份","买入","20200","10.3328712871287","208724"
"7900000219","603232.SH","格尔软件","买入","500","33.088","16544"
"7900000219","002340.SZ","格林美","买入","3500","5.39828571428571","18894"
"7900000219","000987.SZ","越秀金控","买入","64700","21.7183384281298","1405176.4963"
"7900000219","002157.SZ","正邦科技","买入","6100","20.92","127612"
"7900000219","603429.SH","集友股份","卖出","10100","35.4906931188119","358456.0005"
"7900000219","300065.SZ","海兰信","买入","8100","15.6625703950617","126866.8202"
"7900000219","002221.SZ","东华能源","买入","6500","9.77092307692308","63511"
"7900000219","603060.SH","国检集团","买入","500","23.184","11592"
"7900000219","600629.SH","华建集团","买入","100","8.78","878"
"7900000219","300323.SZ","华灿光电","买入","22700","7.94057268722467","180251"
"7900000219","000537.SZ","广宇发展","卖出","30000","7.5348","226044"
"8009205008","600150.SH","中国船舶","融券卖出","99400","21.3312676056338","2120328"
"7900000219","601882.SH","海天精工","买入","400","9.44","3776"
"8009205008","600150.SH","中国船舶","买入","99420","21.25002003621","2112676.992"
