账户,备注,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比率,参考盈亏,SymbolFull
7900000219,ct12,603123,翠微股份,6700,6700,6700,0,0,0,10.94,11.35,9.98%,76045.00,3.80%,2780.50,603123.SH
7900000219,ct12,603126,中材节能,200,300,200,0,100,0,4.54,4.61,0.22%,1383.00,1.52%,20.64,603126.SH
7900000219,ct12,603127,昭衍新药,400,400,400,0,0,0,93.41,97.61,-0.72%,39044.00,4.50%,1679.60,603127.SH
7900000219,ct12,603128,华贸物流,21400,16400,16400,0,0,5000,8.15,8.30,1.72%,136120.00,1.78%,2384.40,603128.SH
7900000219,ct12,603131,上海沪工,700,900,700,0,200,0,14.69,20.78,-0.34%,18702.00,41.48%,5482.82,603131.SH
7900000219,ct12,603136,天目湖,800,800,800,0,0,0,27.74,28.22,0.25%,22576.00,1.75%,388.00,603136.SH
7900000219,ct12,603138,海量数据,11500,11500,11500,0,0,0,23.82,23.22,1.49%,267029.99,-2.51%,-6865.51,603138.SH
7900000219,ct12,603139,康惠制药,300,400,300,0,100,0,21.38,21.70,-0.46%,8680.00,1.49%,127.70,603139.SH
7900000219,ct12,603156,养元饮品,1000,1000,1000,0,0,0,25.75,25.19,0.84%,25190.00,-2.16%,-555.00,603156.SH
7900000219,ct12,603158,腾龙股份,300,600,300,0,300,0,22.43,23.69,0.38%,14214.00,5.64%,758.51,603158.SH
7900000219,ct12,603161,科华控股,100,100,100,0,0,0,12.86,12.95,0.62%,1295.00,0.68%,8.80,603161.SH
7900000219,ct12,603165,荣晟环保,100,100,100,0,0,0,12.48,13.22,2.88%,1322.00,5.91%,73.80,603165.SH
7900000219,ct12,603166,福达股份,1000,1000,1000,0,0,0,7.21,7.35,0.27%,7350.00,1.90%,137.00,603166.SH
7900000219,ct12,603167,渤海轮渡,800,1400,800,0,600,0,8.48,8.61,-0.81%,12054.00,1.57%,186.18,603167.SH
7900000219,ct12,603168,莎普爱思,500,500,500,0,0,0,8.71,8.79,1.38%,4395.00,0.91%,39.50,603168.SH
7900000219,ct12,603177,德创环保,500,500,0,0,500,500,9.11,9.22,-0.32%,4610.00,1.24%,56.40,603177.SH
7900000219,ct12,603179,新泉股份,500,500,500,0,0,0,21.80,21.76,0.05%,10880.00,-0.20%,-21.50,603179.SH
7900000219,ct12,603180,金牌厨柜,100,200,100,0,100,0,52.12,52.98,0.72%,10596.00,1.64%,171.45,603180.SH
7900000219,ct12,603181,皇马科技,600,700,600,0,100,0,24.46,25.03,0.24%,17521.00,2.34%,400.75,603181.SH
7900000219,ct12,603183,建研院,800,800,800,0,0,0,7.64,7.82,0.64%,6256.00,2.40%,146.40,603183.SH
7900000219,ct12,603185,上机数控,1608,1608,1608,0,0,0,55.55,65.18,1.09%,104809.44,17.34%,15491.47,603185.SH
7900000219,ct12,603186,华正新材,100,100,100,0,0,0,43.72,43.36,1.07%,4336.00,-0.81%,-35.60,603186.SH
7900000219,ct12,603189,网达软件,1700,1100,1100,0,0,600,24.82,26.24,1.00%,28864.00,5.72%,1562.45,603189.SH
7900000219,ct12,603196,日播时尚,500,600,500,0,100,0,7.87,8.03,0.88%,4818.00,2.04%,96.28,603196.SH
7900000219,ct12,603197,保隆科技,300,300,300,0,0,0,29.98,30.81,0.72%,9243.00,2.75%,247.80,603197.SH
7900000219,ct12,603198,迎驾贡酒,1600,700,700,0,0,900,26.37,21.81,-0.32%,15267.00,-17.29%,-3190.48,603198.SH
7900000219,ct12,603199,九华旅游,100,100,100,0,0,0,21.52,21.96,1.10%,2196.00,2.03%,43.70,603199.SH
7900000219,ct12,603200,上海洗霸,1000,1000,0,0,1000,1000,39.48,39.65,0.99%,39650.00,0.44%,172.61,603200.SH
7900000219,ct12,603208,江山欧派,500,0,0,0,0,500,--,139.57,2.18%,0.00,--,0.00,603208.SH
7900000219,ct12,603214,爱婴室,500,500,500,0,0,0,34.74,34.75,-0.77%,17375.00,0.03%,5.50,603214.SH
7900000219,ct12,603218,日月股份,100,100,100,0,0,0,22.53,19.14,-1.49%,1914.00,-15.06%,-339.40,603218.SH
7900000219,ct12,603220,中贝通信,100,100,100,0,0,0,17.10,17.40,1.05%,1740.00,1.74%,29.80,603220.SH
7900000219,ct12,603223,恒通股份,2200,2200,2200,0,0,0,14.30,14.44,2.41%,31768.00,0.96%,303.60,603223.SH
7900000219,ct12,603225,新凤鸣,100,100,100,0,0,0,10.61,10.61,-0.19%,1061.00,-0.02%,-0.20,603225.SH
7900000219,ct12,603226,菲林格尔,1000,1000,1000,0,0,0,11.49,11.39,-0.35%,11390.00,-0.83%,-95.00,603226.SH
7900000219,ct12,603227,雪峰科技,10600,10600,10600,0,0,0,4.28,4.23,-1.86%,44838.00,-1.19%,-540.60,603227.SH
7900000219,ct12,603229,奥翔药业,40,0,0,0,0,40,--,43.20,-2.26%,0.00,--,0.00,603229.SH
7900000219,ct12,603232,格尔软件,2000,0,0,0,0,2000,--,37.04,2.18%,0.00,--,0.00,603232.SH
7900000219,ct12,603233,大参林,500,600,500,0,100,0,72.02,76.50,1.92%,45900.00,6.23%,2690.83,603233.SH
7900000219,ct12,603238,诺邦股份,100,100,100,0,0,0,43.84,41.11,-0.94%,4111.00,-6.22%,-272.60,603238.SH
7900000219,ct12,603239,浙江仙通,2900,2900,2900,0,0,0,16.61,17.05,0.41%,49445.00,2.65%,1276.00,603239.SH
7900000219,ct12,603259,药明康德,3700,4100,3700,0,400,0,110.27,113.00,2.71%,463300.00,2.47%,11184.92,603259.SH
7900000219,ct12,603260,合盛硅业,500,1000,500,0,500,0,31.46,31.50,-0.38%,31500.00,0.13%,42.30,603260.SH
7900000219,ct12,603266,天龙股份,500,600,500,0,100,0,12.45,12.92,1.25%,7752.00,3.81%,284.72,603266.SH
7900000219,ct12,603277,银都股份,100,100,100,0,0,0,10.81,11.07,3.55%,1107.00,2.39%,25.80,603277.SH
