时间            资产账户        证券代码        证券名称        可用数量        库存数量        参考成本        参考盈亏        市值            板块            
15:09:55.321    3900163523      603131          上海沪工        0               600             16.9671         115.760         10296.000       10              
15:09:55.321    3900163523      002443          金洲管道        0               100             6.6713          2.870           670.000         00              
15:09:55.321    3900163523      002438          江苏神通        33000           57200           8.3315          -6950.150       469612.000      00              
15:09:55.321    3900163523      002439          启明星辰        13700           13700           38.3035         28448.050       553206.000      00              
15:09:55.321    3900163523      002440          闰土股份        100             200             9.0768          6.640           1822.000        00              
15:09:55.321    3900163523      002441          众业达          0               100             7.9453          1.470           796.000         00              
15:09:55.321    3900163523      002444          巨星科技        35300           35300           12.1157         -13614.540      414069.000      00              
15:09:55.321    3900163523      002449          国星光电        100             1500            11.2468         904.730         17775.000       00              
15:09:55.321    3900163523      002460          赣锋锂业        7000            7400            47.5001         60309.200       411810.000      00              
15:09:55.321    3900163523      002461          珠江啤酒        0               5800            9.3795          1743.010        56144.000       00              
15:09:55.321    3900163523      002465          海格通信        59000           118000          13.2996         -63675.810      1505680.000     00              
15:09:55.321    3900163523      002467          二六三          0               29000           7.3700          290.360         214020.000      00              
15:09:55.321    3900163523      002399          海普瑞          1600            3000            23.9404         2158.820        73980.000       00              
15:09:55.321    3900163523      002401          中远海科        3300            5600            15.7348         197.380         88312.000       00              
15:09:55.321    3900163523      002402          和而泰          9800            86000           15.5481         4464.820        1341600.000     00              
15:09:55.321    3900163523      002406          远东传动        0               300             6.9456          -160.670        1923.000        00              
15:09:55.321    3900163523      002409          雅克科技        0               4100            45.1133         11917.430       196882.000      00              
15:09:55.321    3900163523      002410          广联达          0               0               0.0000          36123.890       0.000           00              
15:09:55.321    3900163523      002416          爱施德          200             400             7.2690          -19.580         2888.000        00              
15:09:55.321    3900163523      002422          科伦药业        1600            2500            21.1886         -1221.600       51750.000       00              
15:09:55.321    3900163523      002428          云南锗业        200             2300            11.1348         34.890          25645.000       00              
15:09:55.321    3900163523      002430          杭氧股份        1400            2600            13.8020         46.820          35932.000       00              
15:09:55.321    3900163523      002375          亚厦股份        3000            6000            10.0631         3041.220        63420.000       00              
15:09:55.321    3900163523      002376          新北洋          400             400             10.3521         -4.830          4136.000        00              
15:09:55.321    3900163523      002381          双箭股份        12700           12700           9.0914          -525.260        114935.000      00              
15:09:55.321    3900163523      002382          蓝帆医疗        41100           66500           28.7118         -22066.600      1887270.000     00              
15:09:55.321    3900163523      002385          大北农          0               186200          9.2221          -32045.580      1685110.000     00              
15:09:55.321    3900163523      002388          新亚制程        1500            1800            7.3798          108.340         13392.000       00              
15:09:55.321    3900163523      002389          航天彩虹        200             200             12.8818         69.650          2646.000        00              
