时间            资产账户        证券代码        证券名称        可用数量        库存数量        参考成本                参考盈亏                市值                交易板块
15:15:09.797    27545509        000059          华锦股份        5600            5600            5.1138                  -413.290                28224.000               00
15:15:09.797    27545509        000403          双林生物        14300           14300           72.4279                 34779.670               1070498.000             00
15:15:09.797    27545509        000423          东阿阿胶        18600           18600           36.2779                 -19676.650              655092.000              00
15:15:09.797    27545509        000425          徐工机械        800             800             -72.2054                63268.330               5504.000                00
15:15:09.797    27545509        000546          金圆股份        46300           46300           9.9997                  37516.360               500503.000              00
15:15:09.797    27545509        000671          阳光城          130700          130700          7.5750                  -51620.970              938426.000              00
15:15:09.797    27545509        000683          远兴能源        27500           27500           2.0303                  -1933.370               53900.000               00
15:15:09.797    27545509        000800          一汽解放        0               0               0.0000                  76153.420               0.000                   00
15:15:09.797    27545509        000830          鲁西化工        65400           65400           8.9246                  1004.440                584676.000              00
15:15:09.797    27545509        000882          华联股份        111700          111700          2.0603                  5550.480                235687.000              00
15:15:09.797    27545509        000938          紫光股份        0               13300           49.2640                 -28780.740              626430.000              00
15:15:09.797    27545509        002027          分众传媒        161200          161200          5.9939                  -21576.660              944632.000              00
15:15:09.797    27545509        002081          金螳螂          41300           41300           8.6991                  6646.130                365918.000              00
15:15:09.797    27545509        002312          三泰控股        44700           44700           5.0477                  15747.160               241380.000              00
15:15:09.797    27545509        002340          格林美          171700          171700          5.4529                  -27978.390              908293.000              00
15:15:09.797    27545509        002376          新北洋          84500           84500           11.0013                 -106.130                929500.000              00
15:15:09.797    27545509        002381          双箭股份        0               10200           10.0368                 -3027.180               99348.000               00
15:15:09.797    27545509        002422          科伦药业        41500           41500           22.3789                 41131.980               969855.000              00
15:15:09.797    27545509        002491          通鼎互联        0               30700           5.4995                  -4283.010               164552.000              00
15:15:09.797    27545509        002534          杭锅股份        56400           56400           7.5493                  51925.550               477708.000              00
15:15:09.797    27545509        002550          千红制药        0               24300           4.9371                  -3089.360               116883.000              00
15:15:09.797    27545509        002705          新宝股份        0               0               0.0000                  168390.230              0.000                   00
15:15:09.797    27545509        002749          国光股份        26700           26700           12.3776                 28899.460               359382.000              00
15:15:09.797    27545509        002880          卫光生物        3500            3500            44.7364                 70922.520               227500.000              00
15:15:09.797    27545509        300053          欧比特          74000           74000           12.9789                 -31001.650              929440.000              00
15:15:09.797    27545509        300078          思创医惠        0               36200           14.8218                 -26852.350              509696.000              00
15:15:09.797    27545509        300079          数码科技        95000           95000           5.4801                  -33256.090              487350.000              00
15:15:09.797    27545509        300232          洲明科技        98900           98900           9.4033                  -37909.270              892078.000              00
15:15:09.797    27545509        300255          常山药业        143000          143000          6.7010                  -18732.300              939510.000              00
15:15:09.797    27545509        300296          利亚德          131300          131300          7.0103                  -5293.360               915161.000              00
15:15:09.797    27545509        300476          胜宏科技        36500           36500           26.0078                 -47733.880              901550.000              00
15:15:09.797    27545509        300633          开立医疗        0               0               0.0000                  -863.750                0.000                   00
15:15:09.797    27545509        300653          正海生物        12550           12550           74.6065                 78481.450               1014793.000             00
15:15:09.797    27545509        300673          佩蒂股份        0               0               0.0000                  5391.550                0.000                   00
