时间            资产账户        证券代码        证券名称        可用数量        库存数量        参考成本                参考盈亏                市值                交易板块
15:11:55.230    99165566        300566          激智科技        0               0               0.0000                  -58094.820              0.000                   00
15:11:55.230    99165566        300573          兴齐眼药        700             700             192.9446                -2397.250               132664.000              00
15:11:55.230    99165566        300618          寒锐钴业        0               0               0.0000                  23884.740               0.000                   00
15:11:55.230    99165566        300669          沪宁股份        0               0               0.0000                  -264.990                0.000                   00
15:11:55.230    99165566        300677          英科医疗        1900            1900            173.9872                -8905.590               321670.000              00
15:11:55.230    99165566        300678          中科信息        0               2300            22.8288                 968.870                 53475.000               00
15:11:55.230    99165566        300740          御家汇          0               11000           21.9184                 4418.050                245520.000              00
15:11:55.230    99165566        300757          罗博特科        2000            2000            47.7482                 -6176.320               89320.000               00
15:11:55.230    99165566        300758          七彩化学        2200            2200            27.9469                 11402.780               72886.000               00
15:11:55.230    99165566        511990          华宝添益        6               6               -40831.9567             245591.764              600.024                 10
15:11:55.230    99165566        600131          国网信通        1900            1900            23.0614                 -5284.590               38532.000               10
15:11:55.230    99165566        600161          天坛生物        0               15500           47.5954                 21770.610               759500.000              10
15:11:55.230    99165566        600201          生物股份        0               0               0.0000                  4103.920                0.000                   10
15:11:55.230    99165566        600490          鹏欣资源        120800          120800          4.0839                  -10134.840              483200.000              10
15:11:55.230    99165566        600515          海航基础        27800           77800           7.4942                  -17440.170              565606.000              10
15:11:55.230    99165566        600702          舍得酒业        17900           17900           36.1164                 21723.140               668207.000              10
15:11:55.230    99165566        600834          申通地铁        3800            3800            11.1974                 617.780                 43168.000               10
15:11:55.230    99165566        600845          宝信软件        0               0               0.0000                  10550.150               0.000                   10
15:11:55.230    99165566        601108          财通证券        0               49800           15.3044                 -4205.530               757956.000              10
15:11:55.230    99165566        601865          福莱特          9700            9700            22.8091                 -2901.250               218347.000              10
15:11:55.230    99165566        601949          中国出版        0               26100           5.9588                  7862.540                163386.000              10
15:11:55.230    99165566        603043          广州酒家        0               0               0.0000                  855.420                 0.000                   10
15:11:55.230    99165566        603167          渤海轮渡        16500           16500           8.0886                  9758.290                143220.000              10
15:11:55.230    99165566        603238          诺邦股份        0               0               0.0000                  507.430                 0.000                   10
15:11:55.230    99165566        603501          韦尔股份        3300            3300            210.2854                -22721.960              671220.000              10
15:11:55.230    99165566        603605          珀莱雅          2700            2700            172.2956                18884.970               484083.000              10
15:11:55.230    99165566        603718          海利生物        5700            5700            42.1568                 14211.200               254505.000              10
