时间            资产账户        证券代码        证券名称        可用数量        库存数量        参考成本                参考盈亏                市值                交易板块
15:19:09.130    99165566        300673          佩蒂股份        0               0               0.0000                  4980.960                0.000                   00
15:19:09.130    99165566        300757          罗博特科        2000            2000            47.7482                 -10796.320              84700.000               00
15:19:09.130    99165566        511990          华宝添益        6               6               -40831.9567             245591.818              600.078                 10
15:19:09.130    99165566        600089          特变电工        0               0               0.0000                  2395.480                0.000                   10
15:19:09.130    99165566        600131          国网信通        2800            2800            22.0738                 -5218.510               56588.000               10
15:19:09.130    99165566        600201          生物股份        7100            7100            27.8502                 -10935.660              186801.000              10
15:19:09.130    99165566        600273          嘉化能源        30500           30500           12.0758                 -481.570                367830.000              10
15:19:09.130    99165566        600352          浙江龙盛        0               0               0.0000                  -31662.890              0.000                   10
15:19:09.130    99165566        600409          三友化工        0               0               0.0000                  -2225.560               0.000                   10
15:19:09.130    99165566        600515          海航基础        77800           77800           7.6210                  -49094.870              543822.000              10
15:19:09.130    99165566        600587          新华医疗        0               0               0.0000                  -67.870                 0.000                   10
15:19:09.130    99165566        600597          光明乳业        0               0               0.0000                  1120.220                0.000                   10
15:19:09.130    99165566        600702          舍得酒业        0               17900           36.1164                 4718.110                651202.000              10
15:19:09.130    99165566        600812          华北制药        0               0               0.0000                  -10495.840              0.000                   10
15:19:09.130    99165566        600834          申通地铁        0               3800            11.1974                 -28.220                 42522.000               10
15:19:09.130    99165566        600861          北京城乡        0               0               0.0000                  -3653.230               0.000                   10
15:19:09.130    99165566        600970          中材国际        0               25500           5.9316                  -805.690                150450.000              10
15:19:09.130    99165566        601519          大智慧          0               34800           10.2604                 -362.690                356700.000              10
15:19:09.130    99165566        601865          福莱特          0               25100           22.4976                 -26295.980              538395.000              10
15:19:09.130    99165566        603131          上海沪工        0               0               0.0000                  -33395.150              0.000                   10
15:19:09.130    99165566        603238          诺邦股份        0               3100            41.6335                 -4195.830               124868.000              10
15:19:09.130    99165566        603501          韦尔股份        3300            3300            210.2854                -43841.960              650100.000              10
15:19:09.130    99165566        603605          珀莱雅          2700            2700            172.2956                -19077.030              446121.000              10
15:19:09.130    99165566        603766          隆鑫通用        0               12500           4.2207                  -1133.970               51625.000               10
15:19:09.130    99165566        603915          国茂股份        52              52              3.0842                  897.300                 1057.680                10
